"","Highest grade in school completed by child","Child has high school degree","Child enrolled in college","Child has college degree","Child's annual wage in 1993","Child's age in 1993","Child's gender 1 female 0 male","Child's race is black","Child's race is hispanic","Child's race is white","Child is born in USA","Child lived with both biological parents aged 0-18","Nr. years aged 0-18 child lived with 2 bio parents","Age child stopped living with 2 bio parents","Nr. years aged 0-18 child lived with bio mother","Nr. years aged 0-18 child lived with bio father","Child's number of siblings","Mother has less than high school degree","Mother has high school degree","Mother has more than high school degree","Mother's education in unknown","Father has less than high school degree","Father has high school degree","Father has more than high school degree","Father's education in unknown","Mother child when child was aged 0-18","Age child when mother died","Father child when child was aged 0-18","Age child when father died","Father has drinking problem","Mother has drinking problem","Age mother at birth of child","Age father at birth of child","Reason for change: parent died","Reason for change: parents divorced","Reason for change: Parent unable to care","Reason for change: Child left to get married","Reason for change: Child left to be on own","Reason for change: Parent was too ill","Reason for change: Court removed child","Reason for change: Child got in trouble","Reason for change: Child ran away","Reason for change: Child left for college","Reason for change: Child left for military","Reason for change: other","Reason for change: unknown","Region of residence is east","Region of residence is west","Region of residence is north","Region of residence is south","Region of residence is outside U.S.","Sampling weight"
"1",13,1,1,0,18200,28,0,1,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,29,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,244579
"2",10,0,0,0,7540,34,1,1,0,0,1,0,0,0,12,0,7,NA,NA,NA,1,1,0,0,0,0,NA,0,NA,0,1,16,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,139754
"3",12,1,0,0,18000,31,0,0,1,0,1,0,0,0,18,0,2,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,28,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,144986
"4",17,1,1,1,67000,36,0,0,0,1,1,0,0,0,18,0,2,0,0,1,0,0,0,1,0,0,NA,0,NA,0,0,21,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,679853
"5",12,0,0,0,0,34,0,1,0,0,1,0,0,0,18,0,2,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,26,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,238952
"6",13,1,1,1,0,31,1,1,0,0,1,0,0,0,18,0,5,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,22,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,136235
"7",12,1,0,0,12000,30,1,0,0,1,1,0,0,0,8,0,NA,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,26,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,731809
"8",14,1,1,0,0,36,0,1,0,0,1,0,0,0,18,0,6,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,32,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,179017
"9",14,1,1,0,11400,28,0,0,0,1,1,0,0,0,15,0,3,1,0,0,0,1,0,0,0,0,NA,0,NA,0,1,19,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,611105
"10",8,1,0,0,5992,33,0,1,0,0,1,0,0,0,13,0,4,NA,NA,NA,1,NA,NA,NA,1,1,13,0,NA,0,0,14,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,196060
"11",11,1,0,0,0,34,0,1,0,0,1,0,0,0,18,0,9,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,30,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,91396
"12",13,1,1,1,23000,32,1,1,0,0,1,0,0,0,18,0,10,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,36,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,107827
"13",13,1,1,0,19000,31,1,1,0,0,1,0,0,0,18,0,3,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,29,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,154349
"14",11,0,0,0,13000,29,0,1,0,0,1,0,0,0,0,0,2,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,77022
"15",11,0,0,0,8000,35,1,0,0,1,1,0,0,0,17,0,3,1,0,0,0,0,0,1,0,0,NA,0,NA,0,0,20,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,555801
"16",15,1,1,0,0,32,1,0,1,0,1,0,0,0,17,0,8,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,24,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,94126
"17",8,0,0,0,12000,35,0,0,0,1,1,0,0,0,18,0,2,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,22,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,730038
"18",11,0,0,0,14500,33,1,0,1,0,0,0,0,0,13,0,4,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,22,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,125290
