"","c.hgcomp....Highest.grade.in.school.completed.by.child...hsdeg....Child.has.high.school.degree..."
"hgcomp","Highest grade in school completed by child"
"hsdeg","Child has high school degree"
"startcol","Child enrolled in college"
"col_grad","Child has college degree"
"wage_child_93","Child's annual wage in 1993"
"age","Child's age in 1993"
"female","Child's gender 1 female 0 male"
"black","Child's race is black"
"hispanic","Child's race is hispanic"
"white","Child's race is white"
"cob_usa","Child is born in USA"
"two_bio","Child lived with both biological parents aged 0-18"
"bio_yr","Nr. years aged 0-18 child lived with 2 bio parents"
"age_notwobio","Age child stopped living with 2 bio parents"
"l_biomom","Nr. years aged 0-18 child lived with bio mother"
"l_biodad","Nr. years aged 0-18 child lived with bio father"
"siblings","Child's number of siblings"
"mom_lhs","Mother has less than high school degree"
"mom_hs","Mother has high school degree"
"mom_ghs","Mother has more than high school degree"
"mom_uned","Mother's education in unknown"
"dad_lhs","Father has less than high school degree"
"dad_hs","Father has high school degree"
"dad_ghs","Father has more than high school degree"
"dad_uned","Father's education in unknown"
"mom_died","Mother child when child was aged 0-18"
"age_mdie","Age child when mother died"
"dad_died","Father child when child was aged 0-18"
"age_ddie","Age child when father died"
"drunkdad","Father has drinking problem"
"drunkmom","Mother has drinking problem"
"age_mother_birth","Age mother at birth of child"
"age_father_birth","Age father at birth of child"
"reason_parent_died","Reason for change: parent died"
"reason_parent_divorced","Reason for change: parents divorced"
"reason_couldnt_care","Reason for change: Parent unable to care"
"reason_child_married","Reason for change: Child left to get married"
"reason_child_own","Reason for change: Child left to be on own"
"reason_parent_ill","Reason for change: Parent was too ill"
"reason_court","Reason for change: Court removed child"
"reason_trouble","Reason for change: Child got in trouble"
"reason_child_ranaway","Reason for change: Child ran away"
"reason_child_college","Reason for change: Child left for college"
"reason_child_military","Reason for change: Child left for military"
"reason_other","Reason for change: other"
"reason_unknown","Reason for change: unknown"
"east","Region of residence is east"
"west","Region of residence is west"
"north","Region of residence is north"
"south","Region of residence is south"
"outsideUS","Region of residence is outside U.S."
"wgt","Sampling weight"
